type,title,release_year,duration,listed_in,description
TV Show,Ganglands,2021,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
TV Show,"Vendetta: Truth, Lies and The Mafia",2021,1 Season,Crime TV Shows,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
TV Show,Bangkok Breaking,2021,1 Season,Crime TV Shows,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
TV Show,Crime Stories: India Detectives,2021,1 Season,Crime TV Shows,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
TV Show,Falsa identidad,2020,2 Seasons,Crime TV Shows,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,1 Season,Crime TV Shows,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
TV Show,Lucifer,2021,6 Seasons,Crime TV Shows,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
TV Show,La casa de papel,2021,5 Seasons,Crime TV Shows,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
TV Show,Q-Force,2021,1 Season,Crime TV Shows,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
TV Show,Oldsters,2019,1 Season,Crime TV Shows,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
TV Show,King of Boys: The Return of the King,2021,1 Season,Crime TV Shows,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
TV Show,Clickbait,2021,1 Season,Crime TV Shows,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
TV Show,John of God: The Crimes of a Spiritual Healer,2021,1 Season,Crime TV Shows,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
TV Show,The Defeated,2020,1 Season,Crime TV Shows,"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city."
TV Show,Gone for Good,2021,1 Season,Crime TV Shows,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
TV Show,The Kingdom,2021,1 Season,Crime TV Shows,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
TV Show,Las muñecas de la mafia,2018,1 Season,Crime TV Shows,"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia."
TV Show,Cocaine Cowboys: The Kings of Miami,2021,1 Season,Crime TV Shows,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.
TV Show,Myth & Mogul: John DeLorean,2021,1 Season,Crime TV Shows,"In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit."
TV Show,The Flash,2021,7 Seasons,Crime TV Shows,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
TV Show,The Snitch Cartel: Origins,2021,1 Season,Crime TV Shows,"Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
TV Show,How to Sell Drugs Online (Fast),2021,3 Seasons,Crime TV Shows,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers."
TV Show,Okupas,2020,1 Season,Crime TV Shows,"In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city."
TV Show,Touch Your Heart,2019,1 Season,Crime TV Shows,"Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney."
TV Show,Heist,2021,1 Season,Crime TV Shows,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.
TV Show,Elize Matsunaga: Once Upon a Crime,2021,1 Season,Crime TV Shows,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case."
TV Show,The Mire,2021,2 Seasons,Crime TV Shows,"In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious."
TV Show,I AM A KILLER,2020,2 Seasons,Crime TV Shows,Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.
TV Show,Marcella,2019,3 Seasons,Crime TV Shows,"Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?"
TV Show,Scream,2019,3 Seasons,Crime TV Shows,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past."
TV Show,Undercover,2020,2 Seasons,Crime TV Shows,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
TV Show,Mortel,2019,2 Seasons,Crime TV Shows,"After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder."
TV Show,Somos.,2021,1 Season,Crime TV Shows,"The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel's operations, leading to tragedy. Inspired by true events."
TV Show,Sophie: A Murder in West Cork,2021,1 Season,Crime TV Shows,A shocking murder in rural Ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders.
TV Show,Deadwind,2020,2 Seasons,Crime TV Shows,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company."
TV Show,Hap and Leonard,2018,3 Seasons,Crime TV Shows,"In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
TV Show,Locked Up,2020,5 Seasons,Crime TV Shows,"Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world."
TV Show,Riverdale,2019,4 Seasons,Crime TV Shows,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
TV Show,The Assassination of Gianni Versace,2018,1 Season,Crime TV Shows,"Defining moments in Andrew Cunanan's life, starting in childhood, lead up to a 1997 murder spree that kills five, including fashion icon Gianni Versace."
TV Show,The Judgement,2018,1 Season,Crime TV Shows,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture."
TV Show,Elite,2021,4 Seasons,Crime TV Shows,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
TV Show,Beyond Evil,2021,1 Season,Crime TV Shows,"As a killing resembling a cold case resurfaces in a small town, the chase for the truth falls on two policemen who each harbor secrets of their own."
TV Show,Lupin,2021,2 Seasons,Crime TV Shows,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
TV Show,L.A.’s Finest,2021,2 Seasons,Crime TV Shows,"In this spinoff of the ""Bad Boys"" franchise, two police detectives team up while trying to keep their stormy pasts — and differences — from interfering."
TV Show,Dirty John,2020,2 Seasons,Crime TV Shows,Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.
TV Show,Black Space,2021,1 Season,Crime TV Shows,A rogue detective with unorthodox means leads an investigation into a massacre committed by unicorn mask-wearing assassins at an Israeli high school.
TV Show,Who Killed Sara?,2021,2 Seasons,Crime TV Shows,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit."
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,The Sons of Sam: A Descent into Darkness,2021,1 Season,Crime TV Shows,"The Son of Sam case grew into a lifelong obsession for journalist Maury Terry, who became convinced that the murders were linked to a satanic cult."
TV Show,StartUp,2018,3 Seasons,Crime TV Shows,An attempt to launder stolen money finances a cryptocurrency that puts entrepreneurs in business with a corrupt FBI agent and a Miami gang.
TV Show,The Innocent,2021,1 Season,Crime TV Shows,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
TV Show,Jeffrey Epstein: Filthy Rich,2020,1 Season,Crime TV Shows,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.
TV Show,Law School,2021,1 Season,Crime TV Shows,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
TV Show,Signal,2016,1 Season,Crime TV Shows,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice."
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,This Is a Robbery: The World's Biggest Art Heist,2021,1 Season,Crime TV Shows,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime."
TV Show,Murder Maps,2017,2 Seasons,Crime TV Shows,Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.
TV Show,The Irregulars,2021,1 Season,Crime TV Shows,"A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
TV Show,Under Suspicion: Uncovering the Wesphael Case,2021,1 Season,Crime TV Shows,"This docuseries follows the high-profile case of Belgian politician Bernard Wesphael, who was accused of murdering his wife in 2013."
TV Show,Abla Fahita: Drama Queen,2021,1 Season,Crime TV Shows,"Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family."
TV Show,The One,2021,1 Season,Crime TV Shows,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
TV Show,Dealer,2021,1 Season,Crime TV Shows,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
TV Show,Murder Among the Mormons,2021,1 Season,Crime TV Shows,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.
TV Show,A Perfect Day For Arsenide,2019,1 Season,Crime TV Shows,"An eclectic group of people encounters zany situations in this anthology of surreal, offbeat tales from Hong Kong. Based on Mr. Pizza's hit novel."
TV Show,El final del paraíso,2019,1 Season,Crime TV Shows,"In Colombia, the DEA's new director targets a gang of dealers pushing a powerful drug while contending with an enemy who possesses a deep network."
TV Show,Good Girls,2020,3 Seasons,Crime TV Shows,Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.
TV Show,Capitani,2019,1 Season,Crime TV Shows,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl."
TV Show,El Chema,2016,1 Season,Crime TV Shows,Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.
TV Show,Crime Scene: The Vanishing at the Cecil Hotel,2021,1 Season,Crime TV Shows,"The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places."
TV Show,The Sinner,2020,3 Seasons,Crime TV Shows,"When a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories."
TV Show,Hache,2021,2 Seasons,Crime TV Shows,"As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks."
TV Show,Invisible City,2021,1 Season,Crime TV Shows,"After a family tragedy, a man discovers mythical creatures living among humans — and soon realizes they hold the key to his mysterious past."
TV Show,"Pablo Escobar, el patrón del mal",2012,1 Season,Crime TV Shows,"From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar."
TV Show,Busted!,2021,3 Seasons,Crime TV Shows,"Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?"
TV Show,Night Stalker: The Hunt for a Serial Killer,2021,1 Season,Crime TV Shows,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him."
TV Show,Inside the World’s Toughest Prisons,2021,5 Seasons,Crime TV Shows,"Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule."
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,Dare Me,2019,1 Season,Crime TV Shows,"Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy."
TV Show,SanPa: Sins of the Savior,2020,1 Season,Crime TV Shows,"Amidst a heroin crisis, Vincenzo Muccioli cared for the addicted, earning him fierce public devotion — even as charges of violence began to mount."
TV Show,Sakho & Mangane,2019,1 Season,Crime TV Shows,A by-the-book police captain and a brash young detective must team up to take on the supernatural when strange forces begin to wreak havoc on Dakar.
TV Show,Diamond City,2019,1 Season,Crime TV Shows,A prominent prosecuting attorney must defend her innocence — and her life — when she's set up and sent to prison as she investigates a conspiracy.
TV Show,The Ripper,2020,1 Season,Crime TV Shows,"In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper."
TV Show,Futmalls.com,2020,1 Season,Crime TV Shows,Strange occurrences afflict a group of people after they purchase items on a shopping website from the future.
TV Show,Manhunt: Deadly Games,2020,1 Season,Crime TV Shows,"Despite his heroics, security guard Richard Jewell becomes a suspect in the FBI investigation of a foiled terrorist attack at the 1996 Olympics."
TV Show,Room 2806: The Accusation,2020,1 Season,Crime TV Shows,This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn at the height of his career.
TV Show,Kings of Jo'Burg,2020,1 Season,Crime TV Shows,"The Masire brothers rule Johannesburg's criminal underworld, but a supernatural family curse and a tangled web of betrayal threaten to destroy them."
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,American Horror Story,2019,9 Seasons,TV Horror,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
TV Show,The Minions of Midas,2020,1 Season,Crime TV Shows,A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.
TV Show,Graceful Friends,2020,1 Season,Crime TV Shows,"When a sudden death brings everyone’s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control."
TV Show,Trial 4,2020,1 Season,Crime TV Shows,"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism."
TV Show,Carmel: Who Killed Maria Marta?,2020,1 Season,Crime TV Shows,"A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
TV Show,The Good Detective,2020,1 Season,Crime TV Shows,"When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths."
TV Show,Voice,2018,2 Seasons,Crime TV Shows,"A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder."
TV Show,Suburra: Blood on Rome,2020,3 Seasons,Crime TV Shows,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
TV Show,Stolen Away,2020,1 Season,Crime TV Shows,"Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia."
TV Show,Unsolved Mysteries,2020,2 Seasons,Crime TV Shows,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series."
TV Show,Someone Has to Die,2020,1 Season,Crime TV Shows,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences."
TV Show,Private Lives,2020,1 Season,Crime TV Shows,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation."
TV Show,"Good Morning, Verônica",2020,1 Season,Crime TV Shows,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it."
TV Show,You Cannot Hide,2020,1 Season,Crime TV Shows,"A nurse and her daughter flee her husband’s drug-trafficking past in Mexico and assume new identities in Spain, but still face danger in Madrid."
TV Show,Wentworth,2020,8 Seasons,Crime TV Shows,Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.
TV Show,A Perfect Crime,2020,1 Season,Crime TV Shows,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification."
TV Show,The Blacklist,2019,7 Seasons,Crime TV Shows,"After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
TV Show,Criminal: UK,2020,2 Seasons,Crime TV Shows,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
TV Show,Signs,2020,2 Seasons,Crime TV Shows,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town."
TV Show,La Línea: Shadow of Narco,2020,1 Season,Crime TV Shows,"A stone's throw from Africa, the Spanish beach town of La Línea is a drug smuggling hot spot. But the police and mayor are determined to change that."
TV Show,Young Wallander,2020,1 Season,Crime TV Shows,"An incendiary hate crime stirs civil unrest, fast-tracking rookie cop Kurt Wallander to detective in this origin story for the popular character."
TV Show,I AM A KILLER: RELEASED,2020,1 Season,Crime TV Shows,"In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession."
TV Show,Goedam,2020,1 Season,TV Horror,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
TV Show,Stranger,2020,2 Seasons,Crime TV Shows,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption."
TV Show,Teenage Bounty Hunters,2020,1 Season,Crime TV Shows,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
TV Show,The Great Heist,2020,1 Season,Crime TV Shows,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by true events."
TV Show,High Seas,2020,3 Seasons,Crime TV Shows,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
TV Show,World's Most Wanted,2020,1 Season,Crime TV Shows,"Suspected of heinous crimes, they’ve avoided capture despite massive rewards and global investigations. A docuseries profiling the world’s most wanted."
TV Show,Get Even,2020,1 Season,Crime TV Shows,"In a secret act of skillful revenge, four private school classmates team up and work together to expose a string of schoolwide injustices."
TV Show,Fear City: New York vs The Mafia,2020,1 Season,Crime TV Shows,"Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down."
TV Show,Killer Women with Piers Morgan,2017,1 Season,Crime TV Shows,"Journalist Piers Morgan goes behind prison walls to speak with women convicted of shocking crimes, shedding light on what drove them to murder."
TV Show,In The Dark,2020,2 Seasons,Crime TV Shows,A blind woman with vices finds herself in the middle of a murder investigation when her best friend turns up dead.
TV Show,Dark Desire,2020,1 Season,Crime TV Shows,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her."
