type,title,release_year,duration,listed_in,description
TV Show,Jailbirds New Orleans,2021,1 Season,Reality TV,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
TV Show,The Great British Baking Show,2021,9 Seasons,Reality TV,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
TV Show,Love on the Spectrum,2021,2 Seasons,Reality TV,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
TV Show,Nailed It,2021,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
TV Show,Too Hot To Handle: Latino,2021,1 Season,Reality TV,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
TV Show,The World's Most Amazing Vacation Rentals,2021,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
TV Show,Metal Shop Masters,2021,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
TV Show,The Circle,2021,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
TV Show,How to Be a Cowboy,2021,1 Season,Reality TV,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
TV Show,Sparking Joy,2021,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
TV Show,Titletown High,2021,1 Season,Reality TV,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title."
TV Show,Motel Makeover,2021,1 Season,Reality TV,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway."
TV Show,Wheel of Fortune,2019,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases."
TV Show,Bake Squad,2021,1 Season,Reality TV,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.
TV Show,Car Masters: Rust to Riches,2021,3 Seasons,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
TV Show,Cooking With Paris,2021,1 Season,Reality TV,"With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show."
TV Show,Glow Up,2021,3 Seasons,Reality TV,"In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
TV Show,Khawatir,2009,1 Season,Reality TV,Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections.
TV Show,Tattoo Redo,2021,1 Season,Reality TV,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones."
TV Show,Sexy Beasts,2021,1 Season,Reality TV,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test."
TV Show,Too Hot to Handle: Brazil,2021,1 Season,Reality TV,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex."
TV Show,My Unorthodox Life,2021,1 Season,Reality TV,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series."
TV Show,Terrace House: Opening New Doors,2018,6 Seasons,Reality TV,"A group of young people – including a chef, a snowboarder and an ice hockey player – gather in the Karuizawa woods while pursuing their dreams."
TV Show,Big Timber,2020,1 Season,Reality TV,A no-nonsense logger and his loyal crew battle brutal elements and finicky machines to chop and transport valuable lumber on Vancouver Island.
TV Show,Droppin' Cash: Los Angeles,2019,1 Season,Reality TV,This Complex series follows the paper trail of musicians and athletes in Los Angeles as they blow through stacks on the finer things in life.
TV Show,The Parisian Agency: Exclusive Properties,2021,1 Season,Reality TV,This reality series follows the Kretz family and their luxury property business as they help clients buy and sell fabulous homes in France and abroad.
