type,title,release_year,duration,listed_in,description
TV Show,Jaguar,2021,1 Season,TV Action & Adventure,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
TV Show,Resurrection: Ertugrul,2018,5 Seasons,TV Action & Adventure,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
TV Show,Hit & Run,2021,1 Season,TV Action & Adventure,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
TV Show,Outer Banks,2021,2 Seasons,TV Action & Adventure,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
TV Show,The Walking Dead,2019,10 Seasons,TV Action & Adventure,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
TV Show,Wynonna Earp,2020,4 Seasons,TV Action & Adventure,The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
TV Show,Masters of the Universe: Revelation,2021,1 Season,TV Action & Adventure,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic."
TV Show,Sky Rojo,2021,2 Seasons,TV Action & Adventure,A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
TV Show,Colony,2018,3 Seasons,TV Action & Adventure,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
TV Show,Black Lightning,2021,4 Seasons,TV Action & Adventure,School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
TV Show,Black Summer,2021,2 Seasons,TV Action & Adventure,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."
TV Show,Sweet Tooth,2021,1 Season,TV Action & Adventure,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector."
