type,title,release_year,duration,listed_in,description
TV Show,Blood & Water,2021,2 Seasons,TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
TV Show,Midnight Mass,2021,1 Season,TV Dramas,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
TV Show,Squid Game,2021,1 Season,TV Dramas,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
TV Show,Castle and Castle,2021,2 Seasons,TV Dramas,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
TV Show,Dharmakshetra,2014,1 Season,TV Dramas,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
TV Show,Stories by Rabindranath Tagore,2015,1 Season,TV Dramas,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
TV Show,Into the Night,2021,2 Seasons,TV Dramas,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
TV Show,D.P.,2021,1 Season,TV Dramas,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
TV Show,Deadly Sins,2002,1 Season,TV Dramas,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
TV Show,Rebellion,2016,2 Seasons,TV Dramas,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule."
TV Show,Open Your Eyes,2021,1 Season,TV Dramas,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment."
TV Show,Manifest,2021,3 Seasons,TV Dramas,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities."
TV Show,Brand New Cherry Flavor,2021,1 Season,TV Dramas,"A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens."
TV Show,AlRawabi School for Girls,2021,1 Season,TV Dramas,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
TV Show,The Crowned Clown,2019,1 Season,TV Dramas,"Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people."
TV Show,Control Z,2021,2 Seasons,TV Dramas,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
TV Show,Autumn's Concerto,2009,1 Season,TV Dramas,"After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
TV Show,Friday Night Lights,2010,5 Seasons,TV Dramas,Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.
TV Show,Charmed,2021,3 Seasons,TV Dramas,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
TV Show,All American,2021,3 Seasons,TV Dramas,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
TV Show,Chicago Med,2019,5 Seasons,TV Dramas,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D."""
TV Show,Biohackers,2021,2 Seasons,TV Dramas,A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.
