type,title,release_year,duration,listed_in,description
TV Show,The Mystic River,2020,1 Season,TV Horror,"As pregnant women vanish in a remote Nigerian village over decades, a doctor with child finds herself extremely close to uncovering dangerous secrets."
TV Show,Slasher,2019,3 Seasons,TV Horror,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show,Chilling Adventures of Sabrina,2020,4 Seasons,TV Horror,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night."
TV Show,The Guest,2018,1 Season,TV Horror,"Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
TV Show,American Horror Story,2019,9 Seasons,TV Horror,"This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
TV Show,Goedam,2020,1 Season,TV Horror,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
TV Show,JU-ON: Origins,2020,1 Season,TV Horror,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.
TV Show,Reality Z,2020,1 Season,TV Horror,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
TV Show,Strangers from Hell,2019,1 Season,TV Horror,Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.
TV Show,Bloodride,2020,1 Season,TV Horror,"The doomed passengers aboard a spectral bus head toward a gruesome, unknown destination in this deliciously macabre horror anthology series."
TV Show,Spectros,2020,1 Season,TV Horror,A group of teens get caught up in a supernatural clash as vengeful spirits from centuries past rise up in the Liberdade district of São Paulo.
TV Show,Nightflyers,2018,1 Season,TV Horror,"With humankind's future at stake, a group of scientists and a powerful telepath venture into the void aboard a spaceship full of secrets."
TV Show,Typewriter,2019,1 Season,TV Horror,"Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways."
TV Show,Stranger Things,2019,3 Seasons,TV Horror,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
TV Show,Chambers,2019,1 Season,TV Horror,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death."
TV Show,The Kirlian Frequency,2017,1 Season,TV Horror,"In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
TV Show,Dark Matter,2017,3 Seasons,TV Sci-Fi & Fantasy,"After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination."
TV Show,Hemlock Grove,2015,3 Seasons,TV Horror,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight."
TV Show,Anjaan: Rural Myths,2018,1 Season,TV Horror,"Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India."
TV Show,Anjaan: Special Crimes Unit,2018,1 Season,TV Horror,"The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal."
TV Show,Darr Sabko Lagta Hai,2015,1 Season,TV Horror,"In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences."
TV Show,Devlok with Devdutt Pattanaik,2017,1 Season,International TV Shows,"Through chats with host Rasika Dugal, mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy."
TV Show,Eurovision Song Contest,2019,1 Season,International TV Shows,Singers from all over Europe represent their countries in an international showdown and vie for superstar glory.
TV Show,Fear Files... Har Mod Pe Darr,2015,1 Season,TV Horror,"Possessed lovers, witches, haunted houses and more bring tales of horror to the screen in this anthology series."
TV Show,Hannibal,2015,3 Seasons,TV Horror,This drama series focuses on the early years of the relationship between FBI criminal profiler Will Graham and homicidal cannibal Dr. Hannibal Lecter.
TV Show,Haven,2015,5 Seasons,TV Horror,"Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past."
TV Show,Helix,2015,1 Season,TV Horror,"While investigating a possible outbreak at an Arctic research facility, scientists discover a new virus that could wipe out every human on the planet."
TV Show,The Twilight Zone (Original Series),1963,4 Seasons,TV Sci-Fi & Fantasy,"Hosted by creator Rod Serling, this groundbreaking anthology series presents tales of the supernatural that are often tinged with social commentary."
TV Show,ThirTEEN Terrors,2014,1 Season,TV Horror,A group of teens searches for the dark truth behind their school's mysterious and brutal history.
