type,title,release_year,duration,listed_in,description
TV Show,Young Lions,2002,1 Season,Drama,Australian police show about two male and two female detective senior constables who solve crimes and deal with personal issues.
TV Show,WPC 56,2015,3 Seasons,Drama,"The third series of WPC 56 follows WPC Annie Taylor, one of the first female police constables to serve in England's West Midlands in 1956."
TV Show,World War II: When Lions Roared,1994,1 Season,Drama,"At the Tehran and Yalta Conferences, the strong personalities of three of the world's most powerful leaders threaten their fragile alliance. This riveting historical drama portrays the precarious relationship between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin at the pivotal moments when the final strategies of the war hung in the balance."
TV Show,Wild Boys,2011,1 Season,Drama,"Wild Boys is an Australian television period drama series set in Australia 1860s, in and around the fictional town of Hopetoun. The show follows a gang of bushrangers as they stage hold-ups determined to keep ahead of the troopers or wind up at the end of a noose."
TV Show,Whitechapel,2013,4 Seasons,Drama,"This season sees the team confronted by twisted, gothic murders that reach right into their fears and superstitions. Someone is killing suspected witches; flayed bodies suggest someone is more interested in the victims' skin than in their death; and the sewers of Whitechapel threaten the team with an additional layer of horror. Who or what is really behind the evil that surfaces in Whitechapel?"
TV Show,White Dragon,2019,1 Season,Drama,"Professor Jonah Mulray’s life is turned upside down when he discovers his wife, Megan Harris, has been killed in a car-crash in Hong Kong."
TV Show,Wayne (4K UHD),2019,1 Season,Drama,"Wayne is the gritty and sometimes bloody tale of WAYNE (Mark McKenna), a 16 year-old Dirty Harry with a heart-of-gold, who sets out on a dirt bike to Ocala, Florida with his new crush DEL (Ciara Bravo) to take back the 1979 Trans-Am that was stolen from his father before he died."
TV Show,Vella Raja (Tamil),2018,1 Season,Drama,The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?
TV Show,Vanity Fair,2018,1 Season,Drama,"In a world where everyone is striving for what is not worth having, no one is more determined to climb to the heights of English Society than Miss Rebecca Sharp."
TV Show,Utopia,2020,1 Season,Drama,"Utopia is a conspiracy thriller that follows a group of young fans who come together when they discover that the conspiracy in an elusive comic, Utopia, is real. The comic foretells the demise of humanity and the world as we know it, thrusting this group of underdogs to embark on a high-stakes twisted adventure to use what they uncover to save themselves, each other and ultimately humanity."
TV Show,Undone,2019,1 Season,Drama,"UNDONE is a half-hour, genre-bending, animated series that explores the elastic nature of reality through its central character Alma, a twenty-eight-year-old living in San Antonio, Texas. After getting into a car accident and nearly dying, Alma finds she has a new relationship to time. She develops this new ability in order to find out the truth about her father’s death."
TV Show,Under the Power,2019,1 Season,Drama,"Yuan Jinxia, a talented female constable of Department Six, gets to know Lu Yi, a member of Embroidered Uniform Guard, and start to work with him to find the lost government funds. As time goes by, the two fall in love with each other, however the past of their families builds up a wide gap between them. Finally they are able to overcome the difficulties and be together."
TV Show,Undeniable,2014,1 Season,Drama,"25 years after witnessing her mother's murder, Jane notices a doctor who looks like her mother's killer. No on believes her - except one cop."
TV Show,Tokyo Girl,2018,1 Season,Drama,The story follows Aya (Asami Mizukawa) from the time she moves to Tokyo at age 23 up until she turns 40. Aya has to adjust to the different values and perceptions of the big city as she struggles with challenging situations. We get to follow Aya’s move from one neighborhood to another as she maneuvers her career and love life. © Watanabe Entertainment
TV Show,Tokyo Alice,2019,1 Season,Drama,"This is the story of the real-life, high-end romances of four former classmates. It follows the love, work and interests of the four protagonists, Fu, Mizuho, Sayuri and Ryo. Amazon Original ""Tokyo Alice"" Author: Toriko Chiya (Kodansha ""Kiss"")"
TV Show,Tin Star,2019,2 Seasons,Drama,"The epic thriller starring Tim Roth returns for its second season, as Anna offers her father a chance at forgiveness when she tasks him with saving Pastor Johan Nickel, the head of a family who have taken her in, from destruction."
TV Show,THEM,2021,1 Season,Drama,"THEM is a limited anthology series that explores terror in America. The first season, 1950s-set COVENANT centers around a Black family who move from North Carolina to an all-white Los Angeles neighborhood during the period known as The Great Migration. The family’s idyllic home becomes ground zero where malevolent forces, next door and otherworldly, threaten to taunt, ravage and destroy them."
TV Show,Thella Raju (Telugu),2018,1 Season,Drama,The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?
TV Show,The Wolf,2020,1 Season,Drama,The script tells the story of Kuizhou City Princess Zhaixing and the young wolf cub who grew up in the wolf pack. They met after missing them for eight years. The two fought for the fate of love.
TV Show,The Wilds,2020,1 Season,Drama,"A group of teen girls from different backgrounds must fight for survival after a plane crash strands them on a deserted island. The castaways both clash and bond as they learn more about each other, the secrets they keep, and the traumas they've all endured. There’s just one twist to this thrilling drama… these girls did not end up on this island by accident."
TV Show,The Whole Package,2020,1 Season,Drama,"Amateur male underwear models compete in stripped-down photoshoot challenges for the chance to become Dirt Squirrel Company's newest brand ambassador, $5000 cash and to be crowned ""The Whole Package""."
TV Show,The Vineyard,2021,1 Season,Drama,"The Vineyard is the story of Mauro Larrea and Soledad Montalvo, two strangers whose destinies will cross in the second half of the 19th century, leading to their lives changing forever. A history of glories and defeats, of silver mines, family intrigues, vineyards, wineries, and fascinating cities whose splendor faded over time."
TV Show,The Untamed,2019,1 Season,Drama,"Wei Wuxian and Lan Wangji are two completely different people from two different worlds. Lan Wangji was born in the prominent Sect of the Gusu Lan. Due to his great achievements and reputation, he gained the title Hanguang-Jun, which means the light holder. He was seen as a hero, the role model of everyone in the cultivation world and is known to appear wherever chaos is."
