type,title,release_year,duration,listed_in,description
Movie,Aerials,2016,90 min,Sci-Fi & Fantasy,Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.
Movie,In Paradox,2019,94 min,Sci-Fi & Fantasy,"On the run from assailants, a man desperately seeks to take control of his strange memories before they consume his life — and sanity."
Movie,3022,2019,91 min,Sci-Fi & Fantasy,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
Movie,Lu Over the Wall,2017,113 min,Sci-Fi & Fantasy,Middle schooler Kai's depressing life in a boring fishing village changes drastically when a local mermaid named Lu joins his band.
Movie,Freaks,2018,105 min,Sci-Fi & Fantasy,"Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world."
Movie,MindGamers,2017,99 min,Sci-Fi & Fantasy,"Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment."
Movie,Sturgill Simpson Presents Sound & Fury,2019,42 min,Sci-Fi & Fantasy,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents."
Movie,I Am Mother,2019,114 min,Sci-Fi & Fantasy,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human."
Movie,The Wandering Earth,2019,125 min,Sci-Fi & Fantasy,A looming collision with Jupiter threatens Earth as humans search for a new star. The planet's fate now lies in the hands of a few unexpected heroes.
Movie,The Worthy,2016,99 min,Sci-Fi & Fantasy,"In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound."
Movie,Lucid Dream,2017,102 min,Sci-Fi & Fantasy,"After searching for his abducted son for three years, a devastated father attempts to track down his missing child through lucid dreams."
Movie,IBOY,2017,91 min,Sci-Fi & Fantasy,"When shards of a cell phone get lodged in a teenager's brain, he discovers he can control electronic devices and uses his newfound power for revenge."
Movie,ARQ,2016,89 min,Sci-Fi & Fantasy,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity."
Movie,2036 Origin Unknown,2018,95 min,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery."
Movie,Automata,2014,110 min,Sci-Fi & Fantasy,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
Movie,Elephants Dream 4 Hour,2006,196 min,Sci-Fi & Fantasy,"Friends Proog and Emo live in a capricious, seemingly infinite machine with a sinister purpose in this experimental computer-animated short."
Movie,Golden Time,2013,22 min,Sci-Fi & Fantasy,"In the 1980s, a recently discarded television set from the 1960s refuses to accept its fate and tries to break out of the junkyard."
Movie,The Endless,2017,112 min,Sci-Fi & Fantasy,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
Movie,The Incident,2014,100 min,Sci-Fi & Fantasy,"Two criminals race down a stairwell, a cop close behind. A bickering family begins a road trip. Their journeys will take far longer than expected."
