type,title,release_year,duration,listed_in,description
Movie,Dark Skies,2013,97 min,Horror Movies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
Movie,Ragini MMS,2011,93 min,Horror Movies,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
Movie,Ragini MMS 2,2014,113 min,Horror Movies,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
Movie,Boomika,2021,122 min,Horror Movies,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Movie,Boomika (Hindi),2021,122 min,Horror Movies,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Movie,Boomika (Malayalam),2021,122 min,Horror Movies,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Movie,Boomika (Telugu),2021,122 min,Horror Movies,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
Movie,The Swarm,2021,102 min,Horror Movies,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
Movie,Kingdom: Ashin of the North,2021,94 min,Horror Movies,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom."""
Movie,Fear Street Part 3: 1666,2021,114 min,Horror Movies,"Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives — and Shadyside’s future."
Movie,A Classic Horror Story,2021,95 min,Horror Movies,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
Movie,Fear Street Part 1: 1994,2021,107 min,Horror Movies,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries. Welcome to Shadyside."
Movie,The 8th Night,2021,116 min,Horror Movies,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."
Movie,Winchester,2018,100 min,Horror Movies,The heiress to a vast firearms fortune constructs a mansion with a maze-like interior to ward off the spirits of those killed by her family's product.
Movie,The Strangers,2008,85 min,Horror Movies,"A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders."
Movie,Hostel: Part III,2011,88 min,Horror Movies,"In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved."
